STATION_NM,STATION_ID,lon,lat
친목마을,208000079,126.8830833,37.40921667
친목마을,208000112,126.8835,37.4091
한양수자인아파트후문,208000009,126.92135,37.40415
박달주유소,208000168,126.88535,37.40423333
호현마을,208000078,126.8854,37.40616667
호현삼거리,208000167,126.8866167,37.4048
코카콜라물류센터,208000169,126.8905333,37.40545
노루페인트.대림한숲아파트,208000166,126.8917667,37.40481667
충훈고교,208000193,126.8917333,37.41085
충훈고교,208000196,126.892,37.41091667
노루페인트.대림한숲아파트,208000056,126.8930833,37.4046
충훈부종점,208000111,126.89355,37.4095
충훈부종점,208000096,126.8935167,37.40938333
석수동버스공영차고지,208000380,126.8947833,37.4194
청란공원,208000110,126.8947167,37.40808333
석수동버스공영차고지,208000381,126.8948167,37.41963333
충훈2교,208000057,126.89495,37.40368333
청란공원,208000097,126.8951,37.40791667
안양천생태이야기관,208000194,126.8955833,37.41741667
안양천생태이야기관,208000195,126.8957833,37.41726667
충훈2교,208000198,126.8959167,37.40528333
용강빌라,208000109,126.8960333,37.4071
충훈부입구.충훈2교,208000165,126.8961333,37.4026
충훈2교앞,208000049,126.8962667,37.40286667
충훈2교,208000203,126.8962333,37.40456667
용강빌라,208000098,126.8964333,37.4073
한일아파트.삼봉마을,208000164,126.8977667,37.40166667
한양수자인아파트후문,208000035,126.9212833,37.40411667
한일아파트.삼봉마을,208000058,126.8985667,37.40176667
석수3동행정복지센터.코오롱하늘채아파트,208000108,126.8988333,37.40756667
석수3동행정복지센터.코오롱하늘채아파트,208000099,126.8986,37.40773333
서초빌라,208000202,126.8989667,37.40433333
래미안메가트리아1단지,208000287,126.9317333,37.39658333
석수초등학교,208000107,126.8999,37.40725
석수초등학교,208000100,126.9000167,37.4074
박달2동행정복지센터.한라비발디아파트,208000163,126.9018,37.40188333
충훈1교,208000209,126.90335,37.40583333
석수역(중),208000037,126.9033833,37.43355
한라비발디아파트,208000059,126.902,37.40216667
석수아이파크,208000106,126.9020833,37.40658333
충훈1교,208000208,126.9035833,37.40576667
창박골,208000132,126.9023167,37.38438333
연현초교,208000129,126.9027167,37.42618333
석수아이파크,208000101,126.9021167,37.40676667
관악역(공항버스),208000039,126.91185,37.41835
대림.LG.힐스테이트아파트(중),208000094,126.90375,37.43136667
현대아파트.안양서중학교,208000133,126.9037333,37.3849
